repaymentId,loanAccountNo,customerId,customerName,mobileNumber,email,branchCode,ifscCode,paymentMode,amount,penaltyAmount,totalAmount,status,paymentDate,dueDate,referenceNumber,remarks
RPY000013,LN679166,CUST60659,Ishita Raman,6596691824,gpuri@example.org,BR558,SBIN0208305,NEFT,43429.65,763.11,44192.76,FAILED,2026-06-07,2026-05-07,REF84070253,Payment received successfully
RPY000014,LN883016,CUST81952,Gautami Balakrishnan,7995563142,chanakya32@example.net,BR238,SBIN0152832,IMPS,43108.67,530.95,43639.62,INVALID,2026-04-08,2026-03-24,REF48541465,Auto-debit processed
RPY000015,LN463385,CUST72984,Eiravati Swaminathan,8950182752,aryan56@example.com,BR165,SBIN0110516,CHEQUE,37961.0,1289.07,39250.07,PENDING,2026-05-15,2026-03-31,REF19698178,Delayed payment
RPY000016,LN911106,CUST17636,Nathan Barad,9553710078,hardik12@example.net,BR206,SBIN0540091,IMPS,31403.67,81.85,31485.52,REVERSED,2026-06-05,2026-05-04,REF54974209,Customer requested reversal
RPY000017,LN303843,CUST47467,Udarsh Varughese,8732251336,sbhasin@example.com,BR343,SBIN0335444,CASH,19757.66,170.04,19927.7,INVALID,2026-05-07,2026-05-05,REF98147847,Transaction failed at gateway
RPY000018,LN487205,CUST86734,Mitesh Mahajan,7416978197,urmi35@example.com,BR331,SBIN0898015,NEFT,45525.2,58.7,45583.9,INVALID,2026-02-21,2026-02-16,REF72894973,Manual verification required
RPY000019,LN770152,CUST60244,Chandresh Goel,7548468774,samraom@example.net,BR640,SBIN0449395,NETBANKING,49246.46,283.03,49529.49,INVALID,2026-02-04,2025-12-21,REF58110414,Delayed payment
RPY000020,LN625738,CUST76725,Ekavir Sangha,8901766960,fsibal@example.com,BR404,SBIN0896677,IMPS,33378.57,390.16,33768.73,FAILED,2026-03-01,2026-02-27,REF55497244,Payment received successfully
RPY000021,LN604928,CUST24018,Kashvi Sarma,8556571513,dakshavaidya@example.org,BR882,SBIN0460078,NETBANKING,30372.55,2.9,30375.45,FAILED,2026-06-03,2026-05-10,REF99964118,Delayed payment
RPY000022,LN152316,CUST55107,Avi Gokhale,6041131413,aapte@example.net,BR418,SBIN0474786,CASH,12422.29,229.76,12652.05,PENDING,2026-03-21,2026-03-12,REF24632071,
RPY000023,LN429191,CUST24087,Wakeeta Edwin,9014984149,ahluwaliachakradev@example.com,BR734,SBIN0460555,CASH,1373.89,1761.57,3135.46,PENDING,2026-03-04,2026-01-22,REF38561800,
RPY000024,LN977794,CUST35866,Fariq Issac,7519263006,usachar@example.net,BR557,SBIN0622306,NEFT,5025.22,1352.34,6377.56,SUCCESS,2026-03-30,2026-03-12,REF77818167,
RPY000025,LN696376,CUST85940,Frederick Chaudhry,6374824176,warjas63@example.net,BR777,SBIN0140800,CHEQUE,26879.25,440.31,27319.56,REVERSED,2026-03-10,2026-02-24,REF60876296,
RPY000026,LN937258,CUST89108,Gunbir Choudhry,8983937833,akshay71@example.org,BR664,SBIN0431631,NEFT,34258.92,1091.53,35350.45,FAILED,2026-01-28,2026-01-04,REF67105749,Customer requested reversal
RPY000027,LN312012,CUST79526,Jackson Ramanathan,7938252179,reva92@example.com,BR313,SBIN0125935,NETBANKING,46982.62,718.22,47700.84,FAILED,2026-05-24,2026-04-22,REF36317674,Payment received successfully
RPY000028,LN868093,CUST98875,Aishani Bali,6239962266,ekaraj89@example.org,BR641,SBIN0383145,CHEQUE,19833.55,134.26,19967.81,INVALID,2026-03-30,2026-02-19,REF21059214,Customer requested reversal
RPY000029,LN366247,CUST87801,Suhani Pillai,9313634017,tpathak@example.com,BR476,SBIN0143619,UPI,44805.54,1525.18,46330.72,FAILED,2026-01-03,2025-12-14,REF75012201,Delayed payment
RPY000030,LN397150,CUST27339,Matthew Dugal,6232562020,htripathi@example.org,BR254,SBIN0373424,CASH,9842.34,692.04,10534.38,SUCCESS,2026-04-23,2026-04-20,REF98811833,Auto-debit processed
RPY000031,LN249288,CUST50691,Janaki Shanker,8312308562,lavanya12@example.com,BR257,SBIN0726468,CASH,12904.18,1748.03,14652.21,PENDING,2026-05-14,2026-04-17,REF60885840,Transaction failed at gateway
RPY000032,LN606183,CUST20937,Mekhala Datta,7644995937,bsundaram@example.com,BR890,SBIN0350154,UPI,4679.4,1072.68,5752.08,REVERSED,2026-06-26,2026-06-09,REF50116427,Transaction failed at gateway
RPY000033,LN116397,CUST16870,Panini Peri,6197190682,golaanamika@example.net,BR749,SBIN0687350,NEFT,44614.8,84.64,44699.44,PENDING,2026-02-19,2026-02-08,REF29089236,Auto-debit processed
RPY000034,LN496273,CUST27879,Zayyan Sachar,6478288932,xgill@example.org,BR350,SBIN0420619,UPI,42314.88,1315.04,43629.92,SUCCESS,2026-02-10,2026-01-23,REF16195877,Payment received successfully
RPY000035,LN905820,CUST31285,Ronith Jhaveri,8012764779,brijesh80@example.com,BR959,SBIN0356156,CHEQUE,38794.75,1688.2,40482.95,SUCCESS,2026-04-03,2026-04-03,REF97003640,Transaction failed at gateway
RPY000036,LN425094,CUST94378,Qadim Parmar,8772567584,modyabha@example.net,BR492,SBIN0778230,IMPS,46435.07,1451.3,47886.37,INVALID,2026-03-21,2026-02-22,REF43852783,Manual verification required
RPY000037,LN181730,CUST38806,Zehaan Joshi,6659094628,vermakaran@example.org,BR615,SBIN0344111,CHEQUE,29789.36,1189.3,30978.66,PENDING,2026-04-09,2026-03-11,REF90515631,
RPY000038,LN519941,CUST73156,Eesha Sarma,6529235639,leenakhanna@example.org,BR176,SBIN0776686,CHEQUE,6108.87,1189.64,7298.51,SUCCESS,2026-03-29,2026-02-18,REF56154745,
RPY000039,LN651834,CUST72299,Vedhika Desai,7174771507,jasmitchaudhuri@example.com,BR449,SBIN0730964,UPI,30794.34,1573.17,32367.51,REVERSED,2026-02-10,2026-01-04,REF77892358,Transaction failed at gateway
RPY000040,LN550397,CUST35274,Praneel Natt,8343247655,mandalnaveen@example.com,BR696,SBIN0897094,CASH,23578.49,1257.71,24836.2,PENDING,2026-04-08,2026-03-15,REF96202604,Payment received successfully
RPY000041,LN432356,CUST58800,Janani Bajwa,6672902859,ikhanna@example.org,BR925,SBIN0424063,NETBANKING,33718.66,1954.77,35673.43,SUCCESS,2026-03-18,2026-03-17,REF59200598,Manual verification required
RPY000042,LN388559,CUST78500,Nidra Gopal,8888359411,chakradharbhatt@example.net,BR247,SBIN0413401,NETBANKING,34314.04,137.16,34451.2,INVALID,2026-05-11,2026-04-06,REF27254970,Payment received successfully
RPY000043,LN433304,CUST86580,Oliver Nadig,9283772728,garimaganesan@example.com,BR445,SBIN0731660,CHEQUE,33088.54,1726.84,34815.38,REVERSED,2026-06-25,2026-06-11,REF81327470,Manual verification required
RPY000044,LN236304,CUST47101,Chakradev Ramaswamy,8559662366,keermaanav@example.com,BR558,SBIN0921260,NETBANKING,19744.71,1794.71,21539.42,REVERSED,2026-02-14,2026-01-15,REF87711421,Transaction failed at gateway
RPY000045,LN141773,CUST68285,Oviya Ray,6895347289,bachittar81@example.net,BR828,SBIN0196307,NEFT,34942.39,1629.7,36572.09,INVALID,2026-01-11,2025-12-10,REF19209966,
RPY000046,LN174641,CUST13354,Robert Pall,9205659263,kantquincy@example.net,BR746,SBIN0522450,UPI,45697.7,361.36,46059.06,FAILED,2026-01-18,2025-12-23,REF44751398,Auto-debit processed
RPY000047,LN852289,CUST43591,Zehaan Edwin,8087418015,mahalgaurika@example.com,BR975,SBIN0591199,NETBANKING,20040.83,387.96,20428.79,PENDING,2026-01-26,2025-12-14,REF25652547,Customer requested reversal
RPY000048,LN606915,CUST44370,Kamala Narain,7952359374,shankarlajita@example.org,BR704,SBIN0471921,NEFT,12588.22,160.14,12748.36,FAILED,2026-05-15,2026-04-17,REF22757769,Payment received successfully
RPY000049,LN472346,CUST21818,Anay Prakash,7464932512,cheemamason@example.net,BR395,SBIN0944080,UPI,5171.82,782.42,5954.24,FAILED,2026-03-03,2026-01-24,REF24242191,Customer requested reversal
RPY000050,LN708774,CUST87601,Raghav Manda,8509978243,indalibaria@example.net,BR866,SBIN0481494,NETBANKING,10713.23,240.62,10953.85,SUCCESS,2026-06-10,2026-05-21,REF13251363,Customer requested reversal
RPY000051,LN172613,CUST72422,Elijah Nagi,9444618354,yohannannitesh@example.com,BR397,SBIN0222667,NEFT,26591.27,745.19,27336.46,SUCCESS,2026-06-12,2026-05-14,REF41660444,Customer requested reversal
RPY000052,LN241022,CUST24961,Radhika Reddy,8937583768,faraj23@example.com,BR774,SBIN0762845,NEFT,39784.59,134.19,39918.78,FAILED,2026-05-18,2026-05-09,REF46073649,Transaction failed at gateway
RPY000053,LN231752,CUST13611,Arin Nagarajan,7657137317,georgekadakia@example.org,BR608,SBIN0577082,IMPS,36480.54,1684.07,38164.61,PENDING,2026-02-06,2026-01-19,REF55530677,Customer requested reversal
RPY000054,LN277566,CUST88367,Indali Chowdhury,8662383101,kkrishnan@example.net,BR201,SBIN0636971,UPI,17833.16,876.87,18710.03,REVERSED,2026-03-29,2026-03-04,REF20583032,Manual verification required
RPY000055,LN933103,CUST51550,Raagini Bhatti,8546751490,abeerdivan@example.com,BR930,SBIN0348277,NETBANKING,38326.92,736.8,39063.72,INVALID,2026-04-16,2026-03-04,REF52204606,
RPY000056,LN809449,CUST58487,Xiti Balasubramanian,8979931179,thamanprisha@example.com,BR429,SBIN0622698,UPI,16103.98,272.61,16376.59,PENDING,2026-03-14,2026-03-10,REF73128658,
RPY000057,LN589043,CUST79157,Saanvi Thakur,7441009837,wyattmittal@example.com,BR478,SBIN0611416,CHEQUE,13313.33,1995.33,15308.66,PENDING,2026-06-10,2026-05-23,REF83572154,
RPY000058,LN453021,CUST83679,Radhika Sura,7662331687,qvirk@example.org,BR713,SBIN0374308,IMPS,3696.83,466.16,4162.99,REVERSED,2026-05-16,2026-05-15,REF57235344,Customer requested reversal
RPY000059,LN911489,CUST18740,Zarna Saini,7038883592,zachariakaran@example.org,BR215,SBIN0483848,NETBANKING,36331.97,214.12,36546.09,REVERSED,2026-05-24,2026-05-23,REF52831485,
RPY000060,LN380738,CUST25901,Dhriti Karpe,6193171693,chaman72@example.org,BR177,SBIN0643257,CHEQUE,27749.2,257.6,28006.8,FAILED,2026-05-16,2026-04-20,REF94798493,Delayed payment
RPY000061,LN862159,CUST81173,Krishna Batra,7461706456,hayreomya@example.org,BR364,SBIN0791181,CASH,49229.22,1126.73,50355.95,FAILED,2026-04-24,2026-04-14,REF47614049,
RPY000062,LN139303,CUST49009,Wahab Panchal,7526267323,mshankar@example.com,BR137,SBIN0610074,NETBANKING,24628.87,919.63,25548.5,INVALID,2026-02-04,2026-01-19,REF39016090,Manual verification required
RPY000063,LN963519,CUST61626,Ekta Soman,6221299812,tripathirudra@example.com,BR375,SBIN0324713,NETBANKING,20801.84,758.13,21559.97,PENDING,2026-02-09,2026-01-04,REF77036799,Manual verification required
RPY000064,LN729147,CUST30872,Wishi Deo,9226333436,mohanhema@example.org,BR122,SBIN0128935,NETBANKING,31556.72,358.73,31915.45,INVALID,2026-02-24,2026-01-21,REF40664156,Payment received successfully
RPY000065,LN363662,CUST50504,Nihal Dutt,7092482855,vincent46@example.com,BR334,SBIN0186895,CASH,44384.8,1969.77,46354.57,REVERSED,2026-03-13,2026-02-25,REF73131650,
RPY000066,LN418299,CUST87477,Sai Morar,6796517178,tailorgaurangi@example.com,BR354,SBIN0469054,CHEQUE,44952.37,1609.85,46562.22,PENDING,2026-04-12,2026-03-29,REF33600559,Delayed payment
RPY000067,LN462014,CUST67882,Onkar Dhillon,6126292910,sarakapur@example.net,BR910,SBIN0850204,CHEQUE,7210.54,773.69,7984.23,INVALID,2026-03-27,2026-03-07,REF88751171,Payment received successfully
RPY000068,LN205797,CUST14243,Rushil Sampath,9776336546,ykara@example.com,BR948,SBIN0245717,NEFT,34454.61,93.84,34548.45,INVALID,2026-06-25,2026-05-11,REF23723631,Customer requested reversal
RPY000069,LN648017,CUST47931,Vivaan Sangha,7828641513,tgera@example.net,BR504,SBIN0876100,UPI,35583.4,1238.41,36821.81,INVALID,2026-01-03,2025-12-19,REF10563632,Manual verification required
RPY000070,LN671114,CUST31811,Sanaya Garg,8868292360,gagan70@example.com,BR244,SBIN0546477,IMPS,4027.43,1695.91,5723.34,SUCCESS,2026-06-28,2026-06-13,REF78811071,Delayed payment
RPY000071,LN756234,CUST26154,Neel Wagle,7847034106,rmitra@example.com,BR983,SBIN0602702,NETBANKING,30088.63,1960.55,32049.18,PENDING,2026-01-23,2026-01-20,REF52224086,Delayed payment
RPY000072,LN421229,CUST40940,Arjun Sinha,7604907124,butalaekbal@example.com,BR655,SBIN0946166,NETBANKING,29848.65,113.91,29962.56,REVERSED,2026-05-11,2026-05-03,REF72611317,Transaction failed at gateway
RPY000073,LN184152,CUST89842,Samaksh Deshmukh,7233025540,bimalachandra@example.com,BR244,SBIN0722657,NEFT,10328.02,303.59,10631.61,REVERSED,2026-06-13,2026-05-29,REF36142074,Payment received successfully
RPY000074,LN854063,CUST29618,Qasim Cheema,9223125509,vedant35@example.org,BR837,SBIN0844559,UPI,31706.71,1038.18,32744.89,INVALID,2026-02-10,2026-01-29,REF46463918,
RPY000075,LN196399,CUST69982,Vanya Acharya,7619684066,irya19@example.org,BR989,SBIN0958148,CHEQUE,12147.77,932.82,13080.59,FAILED,2026-01-07,2025-12-28,REF41319675,Transaction failed at gateway
RPY000076,LN275459,CUST67340,Vivaan Apte,7785519823,hemal18@example.org,BR751,SBIN0634197,CASH,28938.31,1597.66,30535.97,SUCCESS,2026-05-20,2026-04-14,REF26618005,Customer requested reversal
RPY000077,LN665289,CUST66323,Eta Brahmbhatt,8292557855,ektadara@example.net,BR512,SBIN0987014,CHEQUE,31776.9,1058.05,32834.95,REVERSED,2026-02-23,2026-02-04,REF34642662,Transaction failed at gateway
RPY000078,LN785763,CUST88636,Arya Srinivas,9343207858,umenon@example.com,BR574,SBIN0377561,IMPS,6435.71,1803.53,8239.24,PENDING,2026-03-05,2026-01-29,REF44172233,Transaction failed at gateway
RPY000079,LN127436,CUST18993,Vansha Shukla,7442117280,praneelpillai@example.net,BR808,SBIN0160285,CASH,12482.91,536.54,13019.45,PENDING,2026-04-18,2026-03-07,REF83288143,Transaction failed at gateway
RPY000080,LN558224,CUST24512,Adya Dar,9897522847,saibajaj@example.org,BR701,SBIN0893419,CASH,37045.37,1021.38,38066.75,INVALID,2026-03-23,2026-03-02,REF13603995,Transaction failed at gateway
RPY000081,LN604519,CUST23810,Jalsa Subramanian,9457770100,amairachawla@example.com,BR274,SBIN0974263,UPI,12225.69,1763.35,13989.04,PENDING,2026-04-03,2026-02-27,REF73533891,
RPY000082,LN120345,CUST83153,Tejas Ganguly,9196791995,chatura56@example.org,BR466,SBIN0365562,NETBANKING,7213.18,1189.76,8402.94,PENDING,2026-03-20,2026-02-22,REF39236798,Delayed payment
RPY000083,LN528063,CUST91486,Samaksh Minhas,7152809945,udarsh41@example.org,BR173,SBIN0494040,NETBANKING,49165.51,256.88,49422.39,SUCCESS,2026-01-09,2025-12-07,REF65889552,Auto-debit processed
RPY000084,LN558597,CUST69008,Shivani Pandit,8566754656,shethanita@example.net,BR690,SBIN0643676,CASH,21953.86,1188.13,23141.99,REVERSED,2026-02-21,2026-01-07,REF64661685,Delayed payment
RPY000085,LN905099,CUST94183,Ayush Kuruvilla,7146977577,finnbutala@example.com,BR888,SBIN0158877,CHEQUE,32849.78,996.38,33846.16,INVALID,2026-06-01,2026-04-22,REF83272982,Manual verification required
RPY000086,LN679881,CUST17903,Bhavika Bajwa,8694390931,majumdarraagini@example.net,BR963,SBIN0464837,NETBANKING,15302.12,1436.23,16738.35,REVERSED,2026-03-31,2026-02-22,REF20237135,Auto-debit processed
RPY000087,LN274259,CUST34269,Kevin Vaidya,8257026171,vedhikagarde@example.com,BR709,SBIN0236408,NEFT,30551.12,100.18,30651.3,REVERSED,2026-01-30,2025-12-25,REF77657334,Auto-debit processed
RPY000088,LN390136,CUST71187,Yutika Divan,9615746003,radha45@example.net,BR813,SBIN0507783,CHEQUE,6575.34,1032.05,7607.39,PENDING,2026-04-26,2026-03-14,REF76516485,Transaction failed at gateway
RPY000089,LN174767,CUST29509,Nihal Gala,9736964581,dominicshenoy@example.net,BR185,SBIN0683785,UPI,42437.2,1341.52,43778.72,PENDING,2026-05-18,2026-04-15,REF85961374,Customer requested reversal
RPY000090,LN897458,CUST89341,Nakul Badami,7841250116,rajatanarayanan@example.org,BR910,SBIN0697062,IMPS,25741.08,1909.59,27650.67,SUCCESS,2026-02-25,2026-02-18,REF62769870,Delayed payment
RPY000091,LN735260,CUST78650,Ekanta Viswanathan,9767207388,sakshamprashad@example.org,BR147,SBIN0873540,CASH,6503.88,1361.97,7865.85,PENDING,2026-02-18,2026-02-02,REF84235594,Transaction failed at gateway
RPY000092,LN978299,CUST26149,Dominic Wali,6216459910,modyirya@example.net,BR504,SBIN0474651,CHEQUE,18925.16,691.07,19616.23,PENDING,2026-04-10,2026-03-09,REF33943824,Payment received successfully
RPY000093,LN973425,CUST66405,Urishilla Dubey,7993351644,buchgirik@example.net,BR888,SBIN0428959,CASH,44657.92,195.85,44853.77,REVERSED,2026-02-17,2026-01-16,REF71288233,
RPY000094,LN916732,CUST84069,Aadi Sethi,6804149358,pallagagan@example.net,BR324,SBIN0587460,CHEQUE,42997.57,1196.97,44194.54,REVERSED,2026-04-22,2026-03-19,REF32610933,
RPY000095,LN460956,CUST49173,Hritik Bhandari,7090399516,wablesai@example.org,BR934,SBIN0464657,NEFT,3580.48,1501.1,5081.58,FAILED,2026-06-14,2026-05-24,REF86894590,Payment received successfully
RPY000096,LN664772,CUST43167,Dominic Loyal,6071946521,ranveersridhar@example.net,BR856,SBIN0479348,UPI,22588.94,447.2,23036.14,INVALID,2026-06-15,2026-05-28,REF55932196,Customer requested reversal
RPY000097,LN773839,CUST80126,Kalpit Vasa,6633196996,purohitchavvi@example.net,BR585,SBIN0583782,NEFT,46403.4,932.97,47336.37,PENDING,2026-03-12,2026-02-27,REF56672072,Customer requested reversal
RPY000098,LN132028,CUST91660,Nathan Jha,8311918258,mnagarajan@example.org,BR624,SBIN0143950,UPI,17058.77,1751.2,18809.97,INVALID,2026-05-16,2026-05-11,REF91138292,Transaction failed at gateway
RPY000099,LN961571,CUST86105,Kavya Shan,6134789769,golaamaira@example.com,BR119,SBIN0132581,CHEQUE,19272.26,756.59,20028.85,SUCCESS,2026-01-10,2025-12-01,REF16550893,Manual verification required
RPY000100,LN410827,CUST16376,Wazir Hayer,7436733618,svenkatesh@example.com,BR654,SBIN0852927,CASH,41671.93,573.38,42245.31,SUCCESS,2026-05-02,2026-04-26,REF49483622,Auto-debit processed
RPY000101,LN468504,CUST58645,Janaki Madan,6422309874,omyadivan@example.net,BR779,SBIN0894359,NETBANKING,17024.66,769.99,17794.65,FAILED,2026-04-13,2026-04-01,REF57271950,Transaction failed at gateway
RPY000102,LN364722,CUST28587,Bhanumati Ravi,9155772877,krishnaanya@example.com,BR952,SBIN0246098,CASH,39195.4,1064.07,40259.47,PENDING,2026-05-13,2026-04-20,REF86278939,Transaction failed at gateway
RPY000103,LN561001,CUST45730,Nathaniel Sridhar,8185091380,sastrykrisha@example.com,BR830,SBIN0692481,CASH,4121.37,791.15,4912.52,PENDING,2026-06-27,2026-06-19,REF51337830,Auto-debit processed
RPY000104,LN402788,CUST14104,Praneel Trivedi,8778280743,keya80@example.net,BR997,SBIN0478641,CHEQUE,16086.92,1927.6,18014.52,REVERSED,2026-06-09,2026-05-07,REF24251960,Payment received successfully
RPY000105,LN682079,CUST55374,Veda Grover,6720093651,omishasodhi@example.net,BR230,SBIN0921872,CASH,21514.6,207.11,21721.71,PENDING,2026-05-01,2026-03-26,REF42002549,Delayed payment
RPY000106,LN178333,CUST34238,Tejas Garde,8646052253,jayaramanisaiah@example.com,BR530,SBIN0724865,CASH,49537.81,335.53,49873.34,FAILED,2026-03-10,2026-02-23,REF22886421,Transaction failed at gateway
RPY000107,LN971740,CUST16799,Oscar Sharaf,6250196024,doctordiya@example.org,BR954,SBIN0612753,NEFT,40592.79,1417.89,42010.68,PENDING,2026-01-30,2026-01-14,REF72696947,Auto-debit processed
RPY000108,LN655301,CUST16782,Madhavi Bhakta,9989683768,sridharluke@example.net,BR621,SBIN0340752,UPI,22782.04,652.14,23434.18,REVERSED,2026-06-26,2026-06-16,REF15508556,
RPY000109,LN857601,CUST60337,Hardik Iyengar,8574227967,wpant@example.com,BR652,SBIN0604902,NETBANKING,34153.49,871.46,35024.95,REVERSED,2026-04-02,2026-03-06,REF34579439,Auto-debit processed
RPY000110,LN501027,CUST57459,Chasmum Borah,6995794783,mnagy@example.com,BR991,SBIN0352088,IMPS,24849.12,335.5,25184.62,FAILED,2026-06-08,2026-05-09,REF28689045,Delayed payment
RPY000111,LN429943,CUST27033,Osha Narayan,8624108360,advaith72@example.net,BR937,SBIN0842515,NETBANKING,37656.03,821.0,38477.03,INVALID,2026-03-24,2026-02-10,REF68408920,Auto-debit processed
RPY000112,LN780220,CUST35496,Kai Sanghvi,8034310565,harinakshiram@example.org,BR154,SBIN0717865,NETBANKING,30462.27,1910.23,32372.5,INVALID,2026-04-22,2026-04-12,REF16413308,
RPY000113,LN762203,CUST82905,Omkaar Bandi,6741869613,gokhaledhriti@example.org,BR318,SBIN0589760,IMPS,11670.02,877.04,12547.06,PENDING,2026-06-22,2026-06-01,REF39265420,Auto-debit processed
RPY000114,LN261108,CUST35346,Leela Choudhry,6171890350,vyanjana42@example.net,BR781,SBIN0292247,CASH,11910.55,1710.59,13621.14,SUCCESS,2026-01-08,2025-12-11,REF31800627,Payment received successfully
RPY000115,LN106434,CUST73687,Gauri Tara,9595761469,eesha11@example.org,BR945,SBIN0337167,IMPS,48431.4,607.85,49039.25,INVALID,2026-06-15,2026-05-22,REF80716419,Customer requested reversal
RPY000116,LN761925,CUST83959,Harish Chawla,6518118705,muttikala@example.net,BR353,SBIN0843567,NETBANKING,5424.93,648.23,6073.16,PENDING,2026-06-03,2026-04-19,REF81013183,Auto-debit processed
RPY000117,LN526714,CUST78766,Aahana Vala,6117546587,tarasetty@example.org,BR249,SBIN0574232,NETBANKING,29811.85,566.1,30377.95,REVERSED,2026-02-12,2025-12-29,REF99758029,Payment received successfully
RPY000118,LN720044,CUST91837,Meghana Kala,9739277704,fitanbobal@example.com,BR379,SBIN0694459,IMPS,26290.7,201.24,26491.94,SUCCESS,2026-03-11,2026-02-21,REF16541539,Payment received successfully
RPY000119,LN335623,CUST54872,Ayush Gole,9571485757,rgrewal@example.com,BR955,SBIN0930347,NEFT,24635.4,417.78,25053.18,PENDING,2026-06-01,2026-05-09,REF78017272,Manual verification required
RPY000120,LN216376,CUST70534,Ganga Contractor,6698143072,mitesh42@example.org,BR321,SBIN0677803,CASH,43633.81,737.44,44371.25,INVALID,2026-05-09,2026-04-12,REF61822052,Customer requested reversal
RPY000121,LN384873,CUST44206,Ojasvi Agate,7730117718,edhitha46@example.net,BR203,SBIN0988598,CASH,12144.04,1896.74,14040.78,INVALID,2026-06-04,2026-05-02,REF64595774,
RPY000122,LN501873,CUST48240,Irya Chhabra,9797871016,daniel81@example.net,BR172,SBIN0322935,NEFT,21557.62,463.4,22021.02,PENDING,2026-01-11,2025-12-01,REF78792956,Payment received successfully
RPY000123,LN123234,CUST37398,Urmi Kumer,6914772065,dhillonbhanumati@example.org,BR129,SBIN0920313,IMPS,43905.22,1590.85,45496.07,SUCCESS,2026-02-05,2026-01-30,REF17279556,Payment received successfully
RPY000124,LN936535,CUST62937,Ucchal Bera,6637533209,ishitaarora@example.com,BR508,SBIN0580180,NEFT,30003.63,501.66,30505.29,SUCCESS,2026-04-25,2026-03-25,REF77301927,Auto-debit processed
RPY000125,LN678356,CUST32254,Zansi Loyal,8629431850,snehasant@example.org,BR549,SBIN0533620,CASH,3250.26,581.93,3832.19,SUCCESS,2026-02-15,2026-02-14,REF82404523,Manual verification required
RPY000126,LN133634,CUST71984,Samuel Pandit,8412279127,teerthkothari@example.org,BR834,SBIN0669791,UPI,24413.33,853.39,25266.72,SUCCESS,2026-04-26,2026-04-21,REF32982799,Manual verification required
RPY000127,LN562338,CUST12928,Yamini Din,8535422895,jainharita@example.com,BR861,SBIN0386056,UPI,3343.25,943.08,4286.33,INVALID,2026-06-05,2026-06-03,REF49890274,Transaction failed at gateway
RPY000128,LN320147,CUST22438,Ayush Sharaf,9280639294,chaudryzarna@example.com,BR880,SBIN0774963,NETBANKING,7365.84,593.19,7959.03,FAILED,2026-06-23,2026-06-13,REF15324929,
RPY000129,LN144691,CUST61392,Inaya Dhar,7828308610,shauryabir@example.com,BR430,SBIN0537537,IMPS,43782.55,212.22,43994.77,SUCCESS,2026-01-15,2025-12-27,REF92915857,Customer requested reversal
RPY000130,LN326094,CUST49194,Unni Shukla,7583152555,aaravnarasimhan@example.org,BR485,SBIN0519190,NEFT,49390.51,278.74,49669.25,FAILED,2026-02-14,2026-01-06,REF95908034,Manual verification required
